"filename", "language", "Ignore", "HTML", "Markdown", "JSON", "JavaScript", "Docker", "YAML", "Lua", "MS SQL", "comment", "blank", "total"
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\.Dockerignore", "Ignore", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\Dockerfile", "Docker", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 10
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\EXAMPLE_SECURE_CONTROLLER.js", "JavaScript", 0, 0, 0, 0, 192, 0, 0, 0, 0, 69, 34, 295
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\IMPROVEMENTS.md", "Markdown", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 64, 256
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\QUICK_SECURITY_REFERENCE.md", "Markdown", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 68, 253
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\README.md", "Markdown", 0, 0, 490, 0, 0, 0, 0, 0, 0, 0, 176, 666
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\SECURITY_GUIDE.md", "Markdown", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 56, 249
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\STRUCTURE_AND_SECURITY_GUIDE.md", "Markdown", 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 38, 219
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\Untitled-1.html", "HTML", 0, 1633, 0, 0, 0, 0, 0, 0, 0, 32, 97, 1762
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\Untitled-2.html", "HTML", 0, 587, 0, 0, 0, 0, 0, 0, 0, 18, 24, 629
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 7, 45
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\package-lock.json", "JSON", 0, 0, 0, 1958, 0, 0, 0, 0, 0, 0, 1, 1959
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\package.json", "JSON", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\server.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 2, 7
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\app.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 6, 21, 79
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\config\googleOauthConfigAndSave.js", "JavaScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 5, 12, 71
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\controllers\apiKey.controller.js", "JavaScript", 0, 0, 0, 0, 79, 0, 0, 0, 0, 6, 27, 112
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\controllers\auth.controller.js", "JavaScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 25, 18, 94
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\controllers\refreshToken.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\controllers\session.controller.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 43, 30, 139
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\learn.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 13, 22
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\middleware\apiKey.Middleware.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 9, 31
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\middleware\authMiddleware.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 8, 27
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\routes\apiSession.route.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 5, 16
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\routes\session.route.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7, 14
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\services\apiKey.service.js", "JavaScript", 0, 0, 0, 0, 89, 0, 0, 0, 0, 21, 33, 143
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\services\auth.service.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 8, 21, 89
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\services\session.service.js", "JavaScript", 0, 0, 0, 0, 93, 0, 0, 0, 0, 27, 37, 157
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\services\tempCodeRunnerFile.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\testAuth.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 6, 30
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\utils\apiKeyGenerator.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\utils\createToken.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 6, 16, 59
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\utils\hash.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\utils\learBasic.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 7, 18
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\utils\luaLearn.md", "Markdown", 0, 0, 675, 0, 0, 0, 0, 0, 0, 0, 334, 1009
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\utils\rateLimiter.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 12, 0, 8, 7, 27
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\utils\rateLimiter_tokenBased.js", "JavaScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 3, 4, 64
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\utils\redisTest.js", "JavaScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 5, 11, 67
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\utils\tempCodeRunnerFile.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\auth\utils\tokenTTl.config.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\config\dbConfig.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 40, 15, 70
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\config\logger.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 14, 9, 37
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\config\tempCodeRunnerFile.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\db\learn.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\db\migration\api_key.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 1, 14
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\middleware\general\generalValidation.js", "JavaScript", 0, 0, 0, 0, 98, 0, 0, 0, 0, 7, 23, 128
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\middleware\securityPipeline.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 13, 8, 42
"c:\Users\justa\desktop\dev\Projects\sniff\BodhAPI\src\middleware\security\inputSanitizationMiddleware.js", "JavaScript", 0, 0, 0, 0, 86, 0, 0, 0, 0, 18, 21, 125
